Date,Open,High,Low,Close,Volume,Adj Close
2014-03-13,162.94,163.35,158.79,159.41,898900,157.68
2014-03-12,161.73,162.60,161.01,162.57,674900,160.81
2014-03-11,164.27,165.00,161.81,162.23,1341900,160.47
2014-03-10,163.85,164.38,162.17,164.29,1315200,162.51
2014-03-07,162.50,165.00,162.21,164.05,1026200,162.27
2014-03-06,161.63,162.26,160.69,162.16,1054800,160.40
2014-03-05,161.93,162.39,160.84,161.45,986900,159.70
2014-03-04,161.81,162.45,160.90,161.94,967600,160.19
2014-03-03,159.13,160.97,159.13,160.27,987600,158.53
2014-02-28,161.90,162.20,160.31,161.08,1202200,159.34
2014-02-27,160.15,161.81,159.91,161.79,2939000,160.04
2014-02-26,164.31,164.40,161.08,162.12,1473000,160.36
2014-02-25,159.21,160.57,157.85,159.99,779200,158.26
2014-02-24,157.65,161.33,157.65,159.27,1163600,157.55
2014-02-21,157.66,158.84,157.66,158.40,791500,156.68
2014-02-20,157.12,159.13,157.12,157.66,961300,155.95
2014-02-19,156.40,158.32,156.40,156.97,1049900,155.27
2014-02-18,158.60,158.96,156.18,157.15,863800,155.45
2014-02-14,154.56,159.97,154.56,158.39,1659600,156.67
2014-02-13,154.05,156.50,153.45,156.15,1253300,154.46
2014-02-12,157.34,157.93,154.26,154.50,1787700,152.83
2014-02-11,157.50,158.33,155.07,156.80,1382200,155.10
2014-02-10,155.70,156.32,154.55,155.25,1095700,153.57
2014-02-07,153.20,156.98,151.65,155.89,1941200,154.20
2014-02-06,150.02,154.33,149.67,152.23,2158400,150.58
2014-02-05,163.82,164.13,146.00,148.71,11478400,147.10
2014-02-04,154.30,157.24,153.70,154.18,1890100,152.51
2014-02-03,156.25,158.13,152.79,153.66,1161900,152.00
2014-01-31,156.18,158.18,155.70,156.89,788600,155.19
2014-01-30,157.20,159.49,157.06,158.23,927200,156.52
2014-01-29,155.90,157.06,155.30,155.51,951000,153.83
2014-01-28,157.35,158.17,156.13,156.74,840200,155.04
2014-01-27,157.53,158.54,156.04,156.95,874700,155.25
2014-01-24,157.83,159.78,156.34,157.62,1180300,155.91
2014-01-23,159.00,159.59,158.07,158.65,1075900,156.93
2014-01-22,160.66,161.45,159.31,159.86,886800,158.13
2014-01-21,162.74,164.08,160.69,160.90,877600,159.16
2014-01-17,163.23,164.16,162.23,162.49,1045400,160.73
2014-01-16,166.15,166.39,162.92,163.31,1753100,161.54
2014-01-15,168.12,170.04,167.06,168.08,632600,166.26
2014-01-14,167.24,169.14,166.94,167.47,870300,165.66
2014-01-13,173.58,174.16,166.69,167.50,992400,165.69
2014-01-10,172.82,175.13,172.57,173.95,550300,172.07
2014-01-09,173.25,173.26,170.46,172.88,649900,171.01
2014-01-08,175.33,176.14,171.83,172.32,736100,170.45
2014-01-07,175.02,175.57,174.25,175.40,466900,173.50
2014-01-06,177.53,177.53,174.50,174.68,637700,172.79
2014-01-03,175.75,178.59,175.37,177.19,665900,175.27
2014-01-02,175.44,176.88,174.93,175.37,750600,173.47
2013-12-31,175.91,177.20,175.60,176.57,330300,174.66
2013-12-30,175.69,176.89,175.67,176.34,257800,174.43
2013-12-27,176.04,176.62,175.21,175.97,286900,174.06
2013-12-26,176.36,176.78,175.42,175.97,274200,174.06
2013-12-24,175.00,176.86,174.89,176.03,320700,174.12
